1570728802692891870	,2026030110002001870578410359	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867548779	,	,2026-03-01 10:07:48,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.07,52.24,支付宝,其它,1688增值服务-先采后付提前回款费用-3264307465886720384	
1571111736999100591	,2026030110002001590584788809	,02960100030062426030100867472965	,	,2026-03-01 10:08:36,****y	,48.50,0.00,100.74,支付宝,其它,1688增值服务-先采后付保理贴现:5088575414172194931	
1571187785033000501	,2026030110002001500576335765	,02960100030062426030100867476999	,	,2026-03-01 10:08:54,****y	,90.50,0.00,191.24,支付宝,其它,1688增值服务-先采后付保理贴现:3266496697503117887	
1571131260790900001	,2026030110002001000559748637	,02960100030062426030100867535783	,	,2026-03-01 10:09:00,****y	,48.50,0.00,239.74,支付宝,其它,1688增值服务-先采后付保理贴现:5088476412240471511	
1570728789465291870	,2026030110002001870578523720	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867472965	,	,2026-03-01 10:08:37,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.28,239.46,支付宝,其它,1688增值服务-先采后付提前回款费用-5088575414172194931	
1570728745508191870	,2026030110002001870578349241	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867476999	,	,2026-03-01 10:08:56,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.52,238.94,支付宝,其它,1688增值服务-先采后付提前回款费用-3266496697503117887	
1571078982887600901	,2026030110002001900535792802	,02960100030062426030100867511827	,	,2026-03-01 10:09:01,****y	,33.00,0.00,271.94,支付宝,其它,1688增值服务-先采后付保理贴现:3266949183599243793	
1571145775962600821	,2026030110002001820557324401	,02960100030062426030100867470977	,	,2026-03-01 10:09:17,****y	,30.65,0.00,302.59,支付宝,其它,1688增值服务-先采后付保理贴现:3263728116823704898	
1570728770381491870	,2026030110002001870578413410	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867535783	,	,2026-03-01 10:09:01,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.28,302.31,支付宝,其它,1688增值服务-先采后付提前回款费用-5088476412240471511	
1570728800442291870	,2026030110002001870578573795	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867511827	,	,2026-03-01 10:09:02,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.19,302.12,支付宝,其它,1688增值服务-先采后付提前回款费用-3266949183599243793	
1570728723296891870	,2026030110002001870578525335	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867470977	,	,2026-03-01 10:09:18,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.18,301.94,支付宝,其它,1688增值服务-先采后付提前回款费用-3263728116823704898	
1571117431980400211	,2026030110002001210523719184	,02960100030062426030100867578083	,	,2026-03-01 10:17:33,****y	,52.63,0.00,354.57,支付宝,其它,1688增值服务-先采后付保理贴现:5088160548591789146	
1571223998616900121	,2026030110002001120599861125	,02960100030062426030100867592019	,	,2026-03-01 10:17:38,****y	,70.60,0.00,425.17,支付宝,其它,1688增值服务-先采后付保理贴现:3266200023623353471	
1571095978881200631	,2026030110002001630526617190	,02960100030062426030100867530937	,	,2026-03-01 10:17:38,****y	,74.10,0.00,499.27,支付宝,其它,1688增值服务-先采后付保理贴现:3266103218570117887	
1570728786611391870	,2026030110002001870578540473	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867578083	,	,2026-03-01 10:17:35,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.31,498.96,支付宝,其它,1688增值服务-先采后付提前回款费用-5088160548591789146	
1570728744569991870	,2026030110002001870578564862	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867592019	,	,2026-03-01 10:17:39,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.41,498.55,支付宝,其它,1688增值服务-先采后付提前回款费用-3266200023623353471	
1570728814891091870	,2026030110002001870578353533	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867530937	,	,2026-03-01 10:17:39,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.43,498.12,支付宝,其它,1688增值服务-先采后付提前回款费用-3266103218570117887	
1571139165441400531	,2026030110002001530522347166	,02960100030062426030100867564179	,	,2026-03-01 10:18:40,****y	,203.00,0.00,701.12,支付宝,其它,1688增值服务-先采后付保理贴现:5083718617340218224	
1570728752538291870	,2026030110002001870578522457	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867564179	,	,2026-03-01 10:18:42,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-1.18,699.94,支付宝,其它,1688增值服务-先采后付提前回款费用-5083718617340218224	
1571145704420300821	,2026030110002001820557311686	,02960100030062426030100867527995	,	,2026-03-01 10:19:27,****y	,223.00,0.00,922.94,支付宝,其它,1688增值服务-先采后付保理贴现:5088493767672856624	
1570728756485491870	,2026030110002001870578662566	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867527995	,	,2026-03-01 10:19:28,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-1.29,921.65,支付宝,其它,1688增值服务-先采后付提前回款费用-5088493767672856624	
1570728811627391870	,2026030110002001870578553363	,20260301012510000000870059162926	,	,2026-03-01 10:44:09,杭州阿里巴巴智融数字技术有限公司(pzbzx@service.aliyun.com)	,0.00,-2.39,919.26,支付宝,其它,1688增值买家保障服务费-5039274531984086721（单笔主订单各SKU子单的总费用）	
1570728782668291870	,2026030110002001870578598223	,20260301012510000000870059165097	,	,2026-03-01 11:22:01,杭州阿里巴巴智融数字技术有限公司(taotejszz@service.aliyun.com)	,0.00,-2.00,917.26,支付宝,其它,1688增值服务-先采后付服务费:5039274531984086721-跨境冰淇淋叠叠乐过家家玩具手眼协调亲	
1570793827122619391	,2026030123001819391431840355	,T50060NP5090168667354500725	,跨境恐龙儿童对讲机玩具远距离300米男女孩生日礼物亲子互动玩具	,2026-03-01 13:39:30,**严(175******99)	,118.00,0.00,1035.26,支付宝,其它,跨境恐龙儿童对讲机玩具远距离300米男女孩生日礼物亲子互动玩具	
1570728790871691870	,2026030110002001870578753534	,FI960100FDO010526030102388000757	,	,2026-03-01 13:39:32,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.21,1035.05,支付宝,其它,1688增值服务-1688-极速周转-服务费(5090168667354500725)	
1570728764699191870	,2026030110002001870578664640	,20260301012510000000870059454526	,	,2026-03-01 13:50:39,杭州阿里巴巴智融数字技术有限公司(pzbzx@service.aliyun.com)	,0.00,-3.33,1031.72,支付宝,其它,1688增值买家保障服务费-3214389397866929581（单笔主订单各SKU子单的总费用）	
1570789897677810220	,2026022823001810221421403578	,T50060NP5088244572053291548	,跨境冰淇淋叠叠乐过家家玩具手眼协调亲子互动桌面游戏早教益智类	,2026-03-01 13:58:53,**强(193******99)	,0.00,-18.30,1013.42,支付宝,其它,售后退款-2026022823001810221421403578-T50060NP5088244572053291548	
1570752830862992801	,2026030122001892801425142907	,T50060NP3269230141442459873	,跨境儿童记忆游戏机 益智玩具 创意互动游戏闪光记忆训练游戏机	,2026-03-01 14:04:24,**龙(159******02)	,9.11,0.00,1022.53,支付宝,其它,跨境儿童记忆游戏机 益智玩具 创意互动游戏闪光记忆训练游戏机	
1570728764703191870	,2026030110002001870578643120	,FI960100FDO008126030102388044715	,	,2026-03-01 14:04:26,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.02,1022.51,支付宝,其它,1688增值服务-1688-极速周转-服务费(3269230141442459873)	
1570790120816149341	,2026030123001849341412584700	,T50060NP5090584896089030845	,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	,2026-03-01 14:16:32,**君(172******47)	,14.50,0.00,1037.01,支付宝,其它,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	
1570728805882491870	,2026030110002001870578811119	,FI960100FDO007026030102388104116	,	,2026-03-01 14:16:34,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,1036.98,支付宝,其它,1688增值服务-1688-极速周转-服务费(5090584896089030845)	
1570789861330610221	,2026030123001810221426130828	,T50060NP5090597892733291548	,跨境冰淇淋叠叠乐过家家玩具手眼协调亲子互动桌面游戏早教益智类	,2026-03-01 14:21:18,**强(193******99)	,19.30,0.00,1056.28,支付宝,其它,跨境冰淇淋叠叠乐过家家玩具手眼协调亲子互动桌面游戏早教益智类	
1570791668178825391	,2026030123001825391432042742	,T50060NP3269400384823789291	,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	,2026-03-01 14:21:22,**辰(196******00)	,37.00,0.00,1093.28,支付宝,其它,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	
1570728799548191870	,2026030110002001870578700273	,FI960100FDO006726030102388092403	,	,2026-03-01 14:21:20,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,1093.25,支付宝,其它,1688增值服务-1688-极速周转-服务费(5090597892733291548)	
1570728818125591870	,2026030110002001870578756250	,FI960100FDO006826030102387893036	,	,2026-03-01 14:21:24,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.07,1093.18,支付宝,其它,1688增值服务-1688-极速周转-服务费(3269400384823789291)	
1570728743517691871	,2021041510002001870200000001|20260301177190978702	,at/648940230	,	,2026-03-01 15:17:55,****号	,3.00,0.00,1096.18,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2309307537352	
1570728743517891870	,2021041510002001870200000001|20260301177190978702	,at/648940230	,	,2026-03-01 15:17:55,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1093.18,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2309307537352	
1570728762924291871	,2021041510002001870200000001|20260301141455328702	,at/649032306	,	,2026-03-01 16:05:19,****号	,3.00,0.00,1096.18,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310026952692	
1570728762924491870	,2021041510002001870200000001|20260301141455328702	,at/649032306	,	,2026-03-01 16:05:19,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1093.18,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310026952692	
1570743711781113601	,2026030123001813601409039451	,T50060NP5090869513743312719	,跨境儿童投影仪故事机早教认知睡前故事照明图案投影手电筒玩具	,2026-03-01 16:08:23,**菜(lux***@163.com)	,10.73,0.00,1103.91,支付宝,其它,跨境儿童投影仪故事机早教认知睡前故事照明图案投影手电筒玩具	
1570728784841491870	,2026030110002001870578637724	,FI960100FDO012626030102388268669	,	,2026-03-01 16:08:25,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.02,1103.89,支付宝,其它,1688增值服务-1688-极速周转-服务费(5090869513743312719)	
1570728772831491871	,2021041510002001870200000001|20260301167270148702	,at/649032587	,	,2026-03-01 16:29:55,****号	,3.00,0.00,1106.89,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310246879855	
1570728772831691870	,2021041510002001870200000001|20260301167270148702	,at/649032587	,	,2026-03-01 16:29:55,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1103.89,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310246879855	
1570791189343621531	,2026030123001821531438780029	,T50060NP5090570499274456743	,跨境 恶搞整蛊弹射便便马桶游戏新奇特恶搞整蛊亲子互动儿童玩具	,2026-03-01 17:11:48,****莫(152******18)	,18.50,0.00,1122.39,支付宝,其它,跨境 恶搞整蛊弹射便便马桶游戏新奇特恶搞整蛊亲子互动儿童玩具	
1570729004127091870	,2026030110002001870578750310	,FI960100FDO001126030102385294262	,	,2026-03-01 17:11:50,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,1122.36,支付宝,其它,1688增值服务-1688-极速周转-服务费(5090570499274456743)	
1570721798818171821	,2026030122001871821434233400	,T50060NP3269243786934363588	,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	,2026-03-01 17:24:03,*达(191******28)	,30.65,0.00,1153.01,支付宝,其它,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	
1570729027386991870	,2026030110002001870578725731	,FI960100FDO008626030102388376624	,	,2026-03-01 17:24:05,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.06,1152.95,支付宝,其它,1688增值服务-1688-极速周转-服务费(3269243786934363588)	
1570729004129891871	,2021041510002001870200000001|20260301158252248702	,at/649122613	,	,2026-03-01 17:31:45,****号	,3.00,0.00,1155.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310498294449	
1570729004130091870	,2021041510002001870200000001|20260301158252248702	,at/649122613	,	,2026-03-01 17:31:45,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1152.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2310498294449	
1570728984389091871	,2021041510002001870200000001|20260301100911038702	,at/649141525	,	,2026-03-01 17:37:37,****号	,3.00,0.00,1155.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311240971116	
1570728984389291870	,2021041510002001870200000001|20260301100911038702	,at/649141525	,	,2026-03-01 17:37:37,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1152.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311240971116	
1570729067205091871	,2021041510002001870200000001|20260301178392908702	,at/649148770	,	,2026-03-01 18:14:45,****号	,3.00,0.00,1155.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311252423817	
1570729067205291870	,2021041510002001870200000001|20260301178392908702	,at/649148770	,	,2026-03-01 18:14:45,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,1152.95,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311252423817	
1571135484338900301	,2026030110002001300566854335	,02960100030062426030100868082921	,	,2026-03-01 18:26:25,****y	,234.23,0.00,1387.18,支付宝,其它,1688增值服务-先采后付保理贴现:3267030864768198586	
1570729076201091870	,2026030110002001870578716485	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100868082921	,	,2026-03-01 18:26:26,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-1.36,1385.82,支付宝,其它,1688增值服务-先采后付提前回款费用-3267030864768198586	
1570729004757591871	,2021041510002001870200000001|20260301173746698702	,at/649383216	,	,2026-03-01 19:33:39,****号	,13.79,0.00,1399.61,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311004764121	
1570729004757791870	,2021041510002001870200000001|20260301173746698702	,at/649383216	,	,2026-03-01 19:33:39,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-13.79,1385.82,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2311004764121	
1570743984065713600	,2026030123001813601409039451	,T50060NP5090869513743312719	,跨境儿童投影仪故事机早教认知睡前故事照明图案投影手电筒玩具	,2026-03-01 19:34:36,**菜(173******30)	,0.00,-10.73,1375.09,支付宝,其它,售后退款-2026030123001813601409039451-T50060NP5090869513743312719	
1570785634446625221	,2026030123001825221418644177	,T50060NP3269566491142046291	,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	,2026-03-01 19:47:54,**萍(139******66)	,21.00,0.00,1396.09,支付宝,其它,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	
1570729025568691870	,2026030110002001870578705659	,FI960100FDO008226030102388265106	,	,2026-03-01 19:47:56,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.04,1396.05,支付宝,其它,1688增值服务-1688-极速周转-服务费(3269566491142046291)	
1570729041899891870	,20260301102551010991870000714158	,2026030110121100020000000000340048927506	,	,2026-03-01 22:00:59,****y	,0.00,-1396.05,0.00,支付宝,其它,余利宝-基金申购，支付宝转入	
1570781295347221421	,20260301102551010921420024715487	,2026030110121100030000000000340061521896	,	,2026-03-01 22:05:50,****y	,25000.00,0.00,25000.00,支付宝,其它,余利宝-基金赎回，转账到支付宝	
1570729175769691870	,20260301200040011100870058431941	,	,	,2026-03-01 22:07:23,**珍(zz_***@163.com)	,0.00,-25000.00,0.00,支付宝,其它,转账	
1570727776880976911	,2026030122001876911403269991	,T50060NP3269898843959253382	,Fidget Pad减压手柄 陀螺魔方二代游戏手柄指尖游戏创意解压玩具	,2026-03-01 23:08:36,********店(zeg***@163.com)	,10.33,0.00,10.33,支付宝,其它,Fidget Pad减压手柄 陀螺魔方二代游戏手柄指尖游戏创意解压玩具	
1570729074775291870	,2026030110002001870578771709	,FI960100FDO008326030102388397214	,	,2026-03-01 23:08:38,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.02,10.31,支付宝,其它,1688增值服务-1688-极速周转-服务费(3269898843959253382)	
1570728993036391871	,2021041510002001870200000001|20260301120068428702	,at/649561228	,	,2026-03-01 23:13:09,****号	,10.33,0.00,20.64,支付宝,其它,1688保证金-支付-极速到账交易退款 退款单号：TQ256012393403258233	
1570728993036591870	,2021041510002001870200000001|20260301120068428702	,at/649561228	,	,2026-03-01 23:13:09,********店(zeg***@163.com)	,0.00,-10.33,10.31,支付宝,其它,1688保证金-支付-极速到账交易退款 退款单号：TQ256012393403258233	
1570729059687591870	,2021041510002001870200000001	,af/649954119	,	,2026-03-02 07:08:25,汕头市俏娃玩具有限公司(qiaowa_jm@163.com)	,0.00,-3.00,7.31,支付宝,其它,1688保证金-汕头市俏娃玩具有限公司-1688买家保障自缴保证金充值	
1570731444144447911	,2026030223001847911404834043	,T50060NP3270540001106744580	,跨境 亲子互动投掷易拉罐保龄球  投掷套圈圈乐 儿童早教益智玩具	,2026-03-02 07:56:37,**彬(xin***@qq.com)	,18.30,0.00,25.61,支付宝,其它,跨境 亲子互动投掷易拉罐保龄球  投掷套圈圈乐 儿童早教益智玩具	
1570729006671891870	,2026030210002001870578719359	,FI960100FDO010226030202378795345	,	,2026-03-02 07:56:39,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,25.58,支付宝,其它,1688增值服务-1688-极速周转-服务费(3270540001106744580)	
1571153771076800141	,2026030210002001140581732234	,02960100030062426030200868352217	,	,2026-03-02 09:31:55,****y	,55.00,0.00,80.58,支付宝,其它,1688增值服务-先采后付保理贴现:3265163581424444074	
1570728999573891870	,2026030210002001870578994879	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030200868352217	,	,2026-03-02 09:31:57,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.32,80.26,支付宝,其它,1688增值服务-先采后付提前回款费用-3265163581424444074	
1570729639662968871	,2026030222001868871407562393	,T50060NP3129605580930040081	,迷你种植盲盒花卉蔬菜 DIY观察盆栽植物幼儿园科教礼物批发	,2026-03-02 09:37:43,深圳市上千亿贸易有限公司(m13451678270@163.com)	,78.80,0.00,159.06,支付宝,其它,迷你种植盲盒花卉蔬菜 DIY观察盆栽植物幼儿园科教礼物批发	
1570729006687591870	,BO2026030225174048870205	,HJCAEB==500000067800015031==6316932600300176	,	,2026-03-02 09:37:46,阿里巴巴（中国）网络技术有限公司(chtyj@service.aliyun.com)	,0.00,-0.23,158.83,支付宝,转账,代扣款（扣款用途：1688供应链服务-跨境渠道(订单:3129605580930040081:3129605580931040081)扣款）	
1570729026130391870	,BO2026030225148239870205	,HJCAEB==500000067800015031==6316859986900176	,	,2026-03-02 09:37:46,阿里巴巴（中国）网络技术有限公司(chtyj@service.aliyun.com)	,0.00,-0.04,158.79,支付宝,转账,代扣款（扣款用途：1688供应链服务-跨境渠道(订单:3129605580930040081:3129605580932040081)扣款）	
1570728992135191870	,BO2026030225044812870205	,HJCAEB==500000067800015031==6316880665450176	,	,2026-03-02 09:37:46,阿里巴巴（中国）网络技术有限公司(chtyj@service.aliyun.com)	,0.00,-0.07,158.72,支付宝,转账,代扣款（扣款用途：1688供应链服务-跨境渠道(订单:3129605580930040081:3129605580933040081)扣款）	
1570729059705491870	,BO2026030225001120870205	,HJCAEB==500000067800015031==6316915328160176	,	,2026-03-02 09:37:46,阿里巴巴（中国）网络技术有限公司(chtyj@service.aliyun.com)	,0.00,-0.09,158.63,支付宝,转账,代扣款（扣款用途：1688供应链服务-跨境渠道(订单:3129605580930040081:3129605580934040081)扣款）	
1570786416035887441	,2026030222001887441424117893	,T50060NP5091843456501152407	,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	,2026-03-02 09:44:20,**婷(195******16)	,19.00,0.00,177.63,支付宝,其它,抖音同款会唱歌跳舞摇摆卡通小蜜蜂电动灯光音乐地摊热卖批发玩具	
1570729022751591870	,2026030210002001870578806676	,FI960100FDO010626030202385714180	,	,2026-03-02 09:44:22,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,177.60,支付宝,其它,1688增值服务-1688-极速周转-服务费(5091843456501152407)	
1570790501320349341	,2026030223001849341416493570	,T50060NP5091435039750030845	,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	,2026-03-02 10:02:18,**君(172******47)	,14.50,0.00,192.10,支付宝,其它,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	
1570790293884149341	,2026030223001849341414564277	,T50060NP5091434823347030845	,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	,2026-03-02 10:02:18,**君(172******47)	,14.50,0.00,206.60,支付宝,其它,跨境蒙氏教具蒙特梭利早教益智敲钉子锤子打桩玩具儿童专注力训	
1570729028153391870	,2026030210002001870578840097	,FI960100FDO007026030202378895452	,	,2026-03-02 10:02:20,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,206.57,支付宝,其它,1688增值服务-1688-极速周转-服务费(5091434823347030845)	
1570728993778291870	,2026030210002001870578869594	,FI960100FDO007026030202385758019	,	,2026-03-02 10:02:20,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,206.54,支付宝,其它,1688增值服务-1688-极速周转-服务费(5091435039750030845)	
1570728998149991870	,2026030210002001870578854199	,20260302012510000000870063375913	,	,2026-03-02 10:07:26,杭州阿里巴巴智融数字技术有限公司(pzbzx@service.aliyun.com)	,0.00,-10.37,196.17,支付宝,其它,1688增值买家保障服务费-3214869459734164974（单笔主订单各SKU子单的总费用）	
1571101125303600571	,2026030210002001570568466122	,02960100030062426030200868399887	,	,2026-03-02 10:13:42,****y	,70.92,0.00,267.09,支付宝,其它,1688增值服务-先采后付保理贴现:5088659472176434022	
1570729028154791870	,2026030210002001870578884049	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030200868399887	,	,2026-03-02 10:13:43,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.41,266.68,支付宝,其它,1688增值服务-先采后付提前回款费用-5088659472176434022	
1571089947769300881	,2026030210002001880571071590	,02960100030062426030200868402793	,	,2026-03-02 10:14:58,****y	,285.00,0.00,551.68,支付宝,其它,1688增值服务-先采后付保理贴现:3260588664687928181	
