1570874537159756120	,2026020322001156121406309983	,T200P3225595873375832884	,儿童专注力记忆训练游戏机抖音学生锻炼提升益智玩具防呆	,2026-03-01 10:44:55	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.16	,148.70	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3225595873375832884)端内扣款	
1570874433716956120	,2026020322001156121406309983	,T200P3225595873375832884	,儿童专注力记忆训练游戏机抖音学生锻炼提升益智玩具防呆	,2026-03-01 10:44:56	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.58	,148.12	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3225595873375832884)扣款	
1570732213010026661	,2026020823001126661412724013	,T200P3236028854959399559	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 10:46:16	,**儿(852-93****88)	,51.61	,0.00	,199.73	,支付宝	,交易付款	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	
1570732187979626660	,2026020823001126661412724013	,T200P3236028854959399559	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 10:46:36	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.31	,199.42	,支付宝	,交易分账	,基础软件服务费(3236028854959399559)扣款	
1570732142632526660	,2026020823001126661412724013	,T200P3236028854959399559	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 10:46:37	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-5.16	,194.26	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3236028854959399559)端内扣款	
1570732068662026660	,2026020823001126661412724013	,T200P3236028854959399559	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 10:46:38	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-2.58	,191.68	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3236028854959399559)扣款	
1570856516830317521	,2020062310002001520253220215|20260301346561965202	,F-capital-general-C-CG62603018901630593	,	,2026-03-01 11:40:47	,**林(136******21)	,3.00	,0.00	,194.68	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570860783521050520	,2026030100073032521700WVOWEU	,vouchercore|2026030100073032521700WVOWEU	,	,2026-03-01 11:40:48	,2088************0156	,0.00	,-3.00	,191.68	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189180563597594	
1570856757445517520	,20260301019130101000520023152006	,20260301009130501000520082102087	,	,2026-03-01 11:56:43	,****y	,0.00	,-191.68	,0.00	,支付宝	,转账	,余额自动转入	
1570856617981517521	,2020062310002001520253220215|20260301353058165202	,F-capital-general-C-CG62603018902313739	,	,2026-03-01 12:20:07	,**林(136******21)	,5.00	,0.00	,5.00	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570856387915027520	,2026030100073032521700WW2NUO	,vouchercore|2026030100073032521700WW2NUO	,	,2026-03-01 12:20:08	,2088************0156	,0.00	,-5.00	,0.00	,支付宝	,其它	,商家权益红包-预算追加-淘宝虚假发货赔付红包-赔付红包-2026020400073001521700JUWMKX-P3M189183941267594	
1570874450378445121	,2026021623001145121420599829	,T200P5073410737239828735	,儿童礼物电动翻滚益智玩具熊猫卡通自动摇摆声控婴儿玩具抬头爬行	,2026-03-01 13:29:55	,**迎(136******30)	,17.40	,0.00	,17.40	,支付宝	,交易付款	,儿童礼物电动翻滚益智玩具熊猫卡通自动摇摆声控婴儿玩具抬头爬行	
1570874397406545120	,2026021623001145121420599829	,T200P5073410737239828735	,儿童礼物电动翻滚益智玩具熊猫卡通自动摇摆声控婴儿玩具抬头爬行	,2026-03-01 13:30:11	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.10	,17.30	,支付宝	,交易分账	,基础软件服务费(5073410737239828735)扣款	
1570761814882563241	,2026022522001163241454574240	,T200P3260116887688825664	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 14:55:05	,*敏(152******04)	,28.80	,0.00	,46.10	,支付宝	,交易付款	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	
1570762031688363240	,2026022522001163241454574240	,T200P3260116887688825664	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-01 14:55:20	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.17	,45.93	,支付宝	,交易分账	,基础软件服务费(3260116887688825664)扣款	
1570743161139016791	,2026020823001116791420908973	,T200P3236284347681048561	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-01 17:27:02	,**昌(osa***@yahoo.com.hk)	,17.81	,0.00	,63.74	,支付宝	,交易付款	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	
1570742917781016790	,2026020823001116791420908973	,T200P3236284347681048561	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-01 17:27:09	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.11	,63.63	,支付宝	,交易分账	,基础软件服务费(3236284347681048561)扣款	
1570743168550216790	,2026020823001116791420908973	,T200P3236284347681048561	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-01 17:27:10	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.78	,61.85	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3236284347681048561)端内扣款	
1570743162802816790	,2026020823001116791420908973	,T200P3236284347681048561	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-01 17:27:11	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.89	,60.96	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3236284347681048561)扣款	
1570738008686531721	,2026021423001131721445433373	,T200P3248354931534491391	,婴儿安抚小屁孩娃娃仿真重生婴儿仿生安抚娃娃公仔配件女孩子玩具	,2026-03-01 21:42:13	,**仪(133******40)	,6.99	,0.00	,67.95	,支付宝	,交易付款	,婴儿安抚小屁孩娃娃仿真重生婴儿仿生安抚娃娃公仔配件女孩子玩具	
1570738051694331720	,2026021423001131721445433373	,T200P3248354931534491391	,婴儿安抚小屁孩娃娃仿真重生婴儿仿生安抚娃娃公仔配件女孩子玩具	,2026-03-01 21:42:30	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.04	,67.91	,支付宝	,交易分账	,基础软件服务费(3248354931534491391)扣款	
1570878554708320121	,2020062310002001520253220215|20260302395168765202	,F-capital-general-C-CG62603028913953767	,	,2026-03-02 07:44:24	,**林(136******21)	,5.00	,0.00	,72.91	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570858545060108520	,2026030200073032521700WW9X16	,vouchercore|2026030200073032521700WW9X16	,	,2026-03-02 07:44:25	,2088************0156	,0.00	,-5.00	,67.91	,支付宝	,其它	,商家权益红包-预算追加-淘宝物流轨迹超时红包-赔付红包-2026030200073001521700K8C3MP-P3M189244265597594	
1570856974644117520	,20260302102551010417520053558876	,26030269042431810883	,	,2026-03-02 09:52:32	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,67.31	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号3266626369203914456	
1571089962261000881	,20260302110070001506880000564078	,2026030215000500010Z40170410017538675	,	,2026-03-02 10:11:33	,2088************0156	,2832.00	,0.00	,2899.31	,支付宝	,其它	,003-tuoguan	
1570857226513017520	,20260302102551010417520053769041	,26030269331722810152	,	,2026-03-02 11:54:29	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,2898.71	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5090065561742497129	
1570857062620017520	,20260302019130101000520024393549	,20260302009130501000520082694126	,	,2026-03-02 11:55:09	,****y	,0.00	,-2898.71	,0.00	,支付宝	,转账	,余额自动转入	
1570768723039383011	,2026021222001183011454500619	,T200P3244219754991623869	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 13:35:36	,8*(852-66****08)	,17.81	,0.00	,17.81	,支付宝	,交易付款	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	
1570768759951583010	,2026021222001183011454500619	,T200P3244219754991623869	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 13:35:51	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.11	,17.70	,支付宝	,交易分账	,基础软件服务费(3244219754991623869)扣款	
1570768694580183010	,2026021222001183011454500619	,T200P3244219754991623869	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 13:35:52	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.78	,15.92	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3244219754991623869)端内扣款	
1570768736672283010	,2026021222001183011454500619	,T200P3244219754991623869	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 13:35:54	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.89	,15.03	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3244219754991623869)扣款	
1570777725321078041	,2026013122001178041457590584	,T200P3218302488104684860	,儿童冰淇淋叠叠乐 益智科教玩具 0-3岁宝宝早教科教叠叠高玩具	,2026-03-02 13:41:59	,8*(886-971****22)	,14.80	,0.00	,29.83	,支付宝	,交易付款	,儿童冰淇淋叠叠乐 益智科教玩具 03岁宝宝早教科教叠叠高玩具	
1570777747229078040	,2026013122001178041457590584	,T200P3218302488104684860	,儿童冰淇淋叠叠乐 益智科教玩具 0-3岁宝宝早教科教叠叠高玩具	,2026-03-02 13:42:06	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.09	,29.74	,支付宝	,交易分账	,基础软件服务费(3218302488104684860)扣款	
1570777756745278040	,2026013122001178041457590584	,T200P3218302488104684860	,儿童冰淇淋叠叠乐 益智科教玩具 0-3岁宝宝早教科教叠叠高玩具	,2026-03-02 13:42:07	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.48	,28.26	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3218302488104684860)端内扣款	
1570777775069178040	,2026013122001178041457590584	,T200P3218302488104684860	,儿童冰淇淋叠叠乐 益智科教玩具 0-3岁宝宝早教科教叠叠高玩具	,2026-03-02 13:42:08	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.74	,27.52	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3218302488104684860)扣款	
1570730900340486991	,2026022722001186991459212750	,T200P3264437750930630777	,儿童早教仿真开关插座忙碌板LED电路板蒙氏早教物理科教益智玩具	,2026-03-02 15:58:33	,**绍(634***@qq.com)	,26.32	,0.00	,53.84	,支付宝	,交易付款	,儿童早教仿真开关插座忙碌板LED电路板蒙氏早教物理科教益智玩具	
1570730868664486990	,2026022722001186991459212750	,T200P3264437750930630777	,儿童早教仿真开关插座忙碌板LED电路板蒙氏早教物理科教益智玩具	,2026-03-02 15:58:49	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.16	,53.68	,支付宝	,交易分账	,基础软件服务费(3264437750930630777)扣款	
1570857163494017520	,2020062310002001520253220215	,C-jibu-F-0e04aa71b4cb7e558c9dddf5cf1f247f	,	,2026-03-02 16:01:36	,**林(136******21)	,0.00	,-22.00	,31.68	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）	
1570719813207702801	,2020062310002001520253220215|20260302433484505202	,F-capital-general-C-CG62603028937708877	,	,2026-03-02 16:15:37	,**林(136******21)	,5.00	,0.00	,36.68	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570857134442317520	,2020062310002001520253220215	,C-jibu-F-9604c5c216cbafe0942a4789cc832712	,	,2026-03-02 16:15:37	,**林(136******21)	,0.00	,-5.00	,31.68	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570854583571365520	,2026030200073032521700WWMVOE	,vouchercore|2026030200073032521700WWMVOE	,	,2026-03-02 16:15:38	,2088************0156	,0.00	,-5.00	,26.68	,支付宝	,其它	,商家权益红包-预算追加-淘宝缺货赔付红包-赔付红包-2025082200073001521700GO2EB3-P3M189276269337594	
1570729509829187931	,2026022022001187931425218350	,T200P3252782030386466594	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 17:25:34	,**剛(col***@yahoo.com)	,17.81	,0.00	,44.49	,支付宝	,交易付款	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	
1570729525232487930	,2026022022001187931425218350	,T200P3252782030386466594	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 17:25:43	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.11	,44.38	,支付宝	,交易分账	,基础软件服务费(3252782030386466594)扣款	
1570729529092587930	,2026022022001187931425218350	,T200P3252782030386466594	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 17:25:45	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.78	,42.60	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3252782030386466594)端内扣款	
1570729523937787930	,2026022022001187931425218350	,T200P3252782030386466594	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-02 17:25:47	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.89	,41.71	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3252782030386466594)扣款	
1570732504286648781	,2020062310002001520253220215|20260302432802095202	,F-capital-general-C-CG62603028921145800	,	,2026-03-02 17:50:07	,**林(136******21)	,3.00	,0.00	,44.71	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570855731742036520	,2026030200073032521700WXDJQB	,vouchercore|2026030200073032521700WXDJQB	,	,2026-03-02 17:50:08	,2088************0156	,0.00	,-3.00	,41.71	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189286664617594	
1570857107005317520	,2020062310002001520253220215	,C-jibu-F-77a396a313d14018786130b7975b950d	,	,2026-03-02 17:50:08	,**林(136******21)	,0.00	,-3.00	,38.71	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570857454951117521	,2020062310002001520253220215|20260302426595325202	,F-capital-general-C-CG62603028922937753	,	,2026-03-02 19:58:25	,**林(136******21)	,3.00	,0.00	,41.71	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570854439877642520	,2026030200073032521700WWT1CT	,vouchercore|2026030200073032521700WWT1CT	,	,2026-03-02 19:58:26	,2088************0156	,0.00	,-3.00	,38.71	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189301549947594	
1570857268328317520	,2020062310002001520253220215	,C-jibu-F-4a4f28cdfccc9d3fce2140c101f2c77f	,	,2026-03-02 19:58:26	,**林(136******21)	,0.00	,-3.00	,35.71	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570731272867537651	,2020062310002001520253220215|20260302433872775202	,F-capital-general-C-CG62603028923416139	,	,2026-03-02 20:32:31	,**林(136******21)	,5.00	,0.00	,40.71	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570853661841660520	,2026030200073032521700WX15A0	,vouchercore|2026030200073032521700WX15A0	,	,2026-03-02 20:32:32	,2088************0156	,0.00	,-5.00	,35.71	,支付宝	,其它	,商家权益红包-预算追加-淘宝物流轨迹超时红包-赔付红包-2026030200073001521700K8C3MP-P3M189306982247594	
1570857405379817520	,2020062310002001520253220215	,C-jibu-F-a69100d1ec8ffe06ed68d983f1a8bf14	,	,2026-03-02 20:32:32	,**林(136******21)	,0.00	,-5.00	,30.71	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570857362521617521	,2020062310002001520253220215|20260302411269615202	,F-capital-general-C-CG62603028923569764	,	,2026-03-02 20:47:26	,**林(136******21)	,5.00	,0.00	,35.71	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570858238255818520	,2026030200073032521700WWX1HY	,vouchercore|2026030200073032521700WWX1HY	,	,2026-03-02 20:47:27	,2088************0156	,0.00	,-5.00	,30.71	,支付宝	,其它	,商家权益红包-预算追加-淘宝虚假发货赔付红包-赔付红包-2026020400073001521700JUWMKX-P3M189308980157594	
1570857543083517520	,2020062310002001520253220215	,C-jibu-F-e5ac1dd1bbf4f64689943e9b5987b6e0	,	,2026-03-02 20:47:27	,**林(136******21)	,0.00	,-5.00	,25.71	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570766302742317161	,2026022023001117161445253825	,T200P3252833978562640170	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-02 22:22:40	,* YONG SIANG(65-915***15)	,51.61	,0.00	,77.32	,支付宝	,交易付款	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	
1570766352734417160	,2026022023001117161445253825	,T200P3252833978562640170	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-02 22:22:50	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.31	,77.01	,支付宝	,交易分账	,基础软件服务费(3252833978562640170)扣款	
1570766337016117160	,2026022023001117161445253825	,T200P3252833978562640170	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-02 22:22:51	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-5.16	,71.85	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(3252833978562640170)端内扣款	
1570766274880117160	,2026022023001117161445253825	,T200P3252833978562640170	,抢答器按钮亮灯简易手压式按铃器家用知识竞赛无线公开课互动教具	,2026-03-02 22:22:53	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-2.58	,69.27	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(3252833978562640170)扣款	
1570779005797756131	,2020062310002001520253220215|20260302432532345202	,F-capital-general-C-CG62603028943424008	,	,2026-03-02 22:56:08	,**林(136******21)	,3.00	,0.00	,72.27	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570857504845117520	,2020062310002001520253220215	,C-jibu-F-6c27e425d51289de9b76c8354d137e9d	,	,2026-03-02 22:56:09	,**林(136******21)	,0.00	,-3.00	,69.27	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570859932534104520	,2026030200073032521700WWXXZB	,vouchercore|2026030200073032521700WWXXZB	,	,2026-03-02 22:56:09	,2088************0156	,0.00	,-3.00	,66.27	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189315804107594	
1570732760405763891	,2020062310002001520253220215|20260302433487255202	,F-capital-general-C-CG62603028943688019	,	,2026-03-02 23:21:38	,**林(136******21)	,3.00	,0.00	,69.27	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570857558722217520	,2020062310002001520253220215	,C-jibu-F-adff198a109c314f9f18cd2a590f8943	,	,2026-03-02 23:21:39	,**林(136******21)	,0.00	,-3.00	,66.27	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570861285237450520	,2026030200073032521700WX0DG0	,vouchercore|2026030200073032521700WX0DG0	,	,2026-03-02 23:21:40	,2088************0156	,0.00	,-3.00	,63.27	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189316283297594	
1570732774013763891	,2020062310002001520253220215|20260303421759175202	,F-capital-general-C-CG62603038926035384	,	,2026-03-03 00:04:03	,**林(136******21)	,5.00	,0.00	,68.27	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570857559228617520	,2020062310002001520253220215	,C-jibu-F-911dfc3b71557be803261f3b73e8578a	,	,2026-03-03 00:04:04	,**林(136******21)	,0.00	,-5.00	,63.27	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570856011899549520	,2026030300073032521700WX9DBF	,vouchercore|2026030300073032521700WX9DBF	,	,2026-03-03 00:04:05	,2088************0156	,0.00	,-5.00	,58.27	,支付宝	,其它	,商家权益红包-预算追加-淘宝虚假发货赔付红包-赔付红包-2026020400073001521700JUWMKX-P3M189316966767594	
1570765844383254141	,2026022422001154141404624474	,T200P5081879126549660536	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-03 01:02:46	,8*(852-92****77)	,18.63	,0.00	,76.90	,支付宝	,交易付款	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	
1570765896192954140	,2026022422001154141404624474	,T200P5081879126549660536	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-03 01:02:52	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.11	,76.79	,支付宝	,交易分账	,基础软件服务费(5081879126549660536)扣款	
1570765803961154140	,2026022422001154141404624474	,T200P5081879126549660536	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-03 01:02:53	,杭州阿里巴巴海外网络科技有限公司(tthwqtg@service.aliyun.com)	,0.00	,-1.86	,74.93	,支付宝	,交易分账	,淘宝天猫跨境服务增值费(5081879126549660536)端内扣款	
1570765913058554140	,2026022422001154141404624474	,T200P5081879126549660536	,室内亲子朋友互动多款桌游玩具新款电动推币游戏机滚珠猜拳抓球机	,2026-03-03 01:02:54	,杭州淘天海外网络技术有限公司(qqby@service.aliyun.com)	,0.00	,-0.93	,74.00	,支付宝	,交易分账	,淘宝天猫跨境服务基础费(5081879126549660536)扣款	
1570853832331752521	,2020062310002001520253220215|20260303423012965202	,F-capital-general-C-CG62603038946324883	,	,2026-03-03 08:23:43	,**林(136******21)	,3.00	,0.00	,77.00	,支付宝	,其它	,淘宝消费者保证金-解冻-null	
1570857245384917520	,2020062310002001520253220215	,C-jibu-F-c79124acfbd8db554a6a40b313a0a7a9	,	,2026-03-03 08:23:44	,**林(136******21)	,0.00	,-3.00	,74.00	,支付宝	,其它	,淘宝消费者保证金-充值（代扣）-红包冻结	
1570860132642706520	,2026030300073032521700WY6FNU	,vouchercore|2026030300073032521700WY6FNU	,	,2026-03-03 08:23:44	,2088************0156	,0.00	,-3.00	,71.00	,支付宝	,其它	,商家权益红包-预算追加-卖家延迟发货赔付红包-赔付红包-2025051200073001521700F8RXXM-P3M189320907287594	
1570857497810917520	,20260303102551010317520056936281	,26030369396442010550	,	,2026-03-03 09:26:17	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,70.40	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号3270095544755029858	
1570764071866734591	,2026022723001134591450735597	,T200P3264912014277987671	,儿童厨房玩具套装女孩过家家小宝宝小孩煮饭女童男孩做饭仿真厨具	,2026-03-03 10:00:49	,**梨(lic***@126.com)	,18.90	,0.00	,89.30	,支付宝	,交易付款	,儿童厨房玩具套装女孩过家家小宝宝小孩煮饭女童男孩做饭仿真厨具	
1570763950913234590	,2026022723001134591450735597	,T200P3264912014277987671	,儿童厨房玩具套装女孩过家家小宝宝小孩煮饭女童男孩做饭仿真厨具	,2026-03-03 10:01:02	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.11	,89.19	,支付宝	,交易分账	,基础软件服务费(3264912014277987671)扣款	
