商品ID,商品标题,类目ID,属性名称,属性值,记录时间
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,支持的标准,avi,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,显示技术,液晶显示器,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,媒体类型,微型sd,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,特殊功能,高分辨率音频,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,品牌名,Cappsu,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,电池容量（mAh）,200,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,电压,详见商品详情,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,无线属性,含蓝牙功能,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,产品充电端口,type-c端口充电,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,是否支持协调快速充电,否,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,是否含充电器,否,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,最大额定功率,10W,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,最小额定功率,5W,2026-04-10 18:21:25
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,电池属性,可充电电池,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,连接技术,蓝牙,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,支持的标准,mp3,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,显示技术,液晶显示器,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,媒体类型,sd卡,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,特殊功能,录音机,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,品牌名,EVISTA,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,电池容量（mAh）,200,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,电压,详见商品详情,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,无线属性,含蓝牙功能,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,产品充电端口,type-c端口充电,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,是否支持协调快速充电,否,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,是否含充电器,否,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,最大额定功率,1.25W,2026-04-10 18:21:26
601099517614977,64GB便携式MP3音乐播放器，带触摸屏、内置高清扬声器、FM收音机和电子书功能——运动与旅行的紧凑设计,2732,最小额定功率,0.05W,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,电池属性,可充电电池,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,连接技术,aux,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,支持的标准,avi,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,显示技术,液晶显示器,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,媒体类型,微型sd,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,特殊功能,视频播放,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,品牌名,CUREAR,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,电池容量（mAh）,4000,2026-04-10 18:21:26
606539792401682,3.0”电容触摸媒体MP3/MP4播放器音乐·视频·电子书·字典支持128G。不包括存储卡,2732,电压,不适用,2026-04-10 18:21:26
601100588433619,儿童磁力机器人，配有35块磁力积木和收纳盒。这款堆叠机器人玩具是一款适合1岁及以上男孩和女孩的STEM教育玩具套装,25477,主体材质,ABS(ABS树脂),2026-04-10 18:21:29
601100588433619,儿童磁力机器人，配有35块磁力积木和收纳盒。这款堆叠机器人玩具是一款适合1岁及以上男孩和女孩的STEM教育玩具套装,25477,颜色,混合色,2026-04-10 18:21:29
601100847189754,MP3 播放器/MP4 播放器，32G 机身内存，配有耳机线和数据线，适合户外运动和旅行携带。支持音乐播放、图像播放、电子书和其他功能,2732,电池属性,可充电电池,2026-04-10 18:21:29
601100847189754,MP3 播放器/MP4 播放器，32G 机身内存，配有耳机线和数据线，适合户外运动和旅行携带。支持音乐播放、图像播放、电子书和其他功能,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:29
601100847189754,MP3 播放器/MP4 播放器，32G 机身内存，配有耳机线和数据线，适合户外运动和旅行携带。支持音乐播放、图像播放、电子书和其他功能,2732,支持的标准,mp3,2026-04-10 18:21:29
601100847189754,MP3 播放器/MP4 播放器，32G 机身内存，配有耳机线和数据线，适合户外运动和旅行携带。支持音乐播放、图像播放、电子书和其他功能,2732,显示技术,液晶显示器,2026-04-10 18:21:29
601100847189754,MP3 播放器/MP4 播放器，32G 机身内存，配有耳机线和数据线，适合户外运动和旅行携带。支持音乐播放、图像播放、电子书和其他功能,2732,媒体类型,sd卡,2026-04-10 18:21:29
601100949582769,"102pcs/116pcs Castle Magnetic Tiles, 3D STEM Toy Building Blocks, Pretend Castle Playset Theme Magnetic Structure, Preschool Learning And Interactive Toy Gifts for Boys Girls Age 3+, Halloween Christmas Gifts Party Gifts for Kids",25477,品牌名,AFUNX,2026-04-10 18:21:29
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,电池属性,可充电电池,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,连接技术,蓝牙,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,支持的标准,avi,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,显示技术,液晶显示器,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,媒体类型,微型sd,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,品牌名,Cappsu,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,电池容量（mAh）,500,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,电压,详见商品详情,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,无线属性,含蓝牙功能,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,产品充电端口,type-c端口充电,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,是否支持协调快速充电,否,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,是否含充电器,否,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,最大额定功率,10W,2026-04-10 18:21:31
601100431292772,Cappsu 无损播放器， HiFi MP3播放器，8GB+128GB 带无线连接，专业有线音频口，无损DSD DAC Flac，高分辨率音乐播放器，便携式铝合金播放器（带重低音耳机）,2732,最小额定功率,5W,2026-04-10 18:21:31
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,电池属性,可充电电池,2026-04-10 18:21:32
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,可充电电池,锂电池--其他系列,2026-04-10 18:21:32
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,支持的标准,mp3,2026-04-10 18:21:32
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,显示技术,液晶显示器,2026-04-10 18:21:32
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,媒体类型,sd卡,2026-04-10 18:21:32
601100159283892,64G+4G Hi-Fi音乐播放器 MP3/MP4，USB充电带挂绳接口，FM收音机，内置扬声器，电子书，闹钟，录音笔和耳机——运动与移动娱乐的完美选择，便携式音乐播放器，可扩展至128G,2732,电池容量（mAh）,220,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,电池属性,可充电电池,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,支持的标准,mp3,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,显示技术,led,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,媒体类型,sd卡,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,电池容量（mAh）,220,2026-04-10 18:21:32
601100070178755,[Hi-Fi音乐播放器]4GB便携式数字音乐MP3播放器，内置扬声器，视频，录音，图片，FM收音机，电子书，支持扩展至128G，适合运动与旅行,2732,电压,详见商品详情,2026-04-10 18:21:32
601100043643432,"KeenPlus 64GB portable music player with wireless 5.0, built-in speakers, recording, FM radio, high fidelity audio, 2.4-inch full touch screen, Micro SD slot, MP3/MP4 player, rechargeable lithium polymer battery",2732,支持的标准,avi,2026-04-10 18:21:33
601100043643432,"KeenPlus 64GB portable music player with wireless 5.0, built-in speakers, recording, FM radio, high fidelity audio, 2.4-inch full touch screen, Micro SD slot, MP3/MP4 player, rechargeable lithium polymer battery",2732,品牌名,KEENPLUS,2026-04-10 18:21:33
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,电池属性,可充电电池,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,连接技术,蓝牙,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,支持的标准,mp3,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,显示技术,液晶显示器,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,媒体类型,sd卡,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,品牌名,BELITA AMY,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,无线属性,含蓝牙功能,2026-04-10 18:21:34
601100043464824,高保真音乐播放器 - 最大支持128GB MP3/MP4播放，内置扬声器，电子书，闹钟，录音机及耳机 - 便携式运动与移动娱乐设备,2732,产品充电端口,其他端口充电,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,电池属性,可充电电池,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,支持的标准,mp3,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,显示技术,液晶显示器,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,媒体类型,sd卡,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,品牌名,EVISTA,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,电池容量（mAh）,410,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,无线属性,含蓝牙功能,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,产品充电端口,type-c端口充电,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,是否支持协调快速充电,否,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,是否含充电器,否,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,最大额定功率,1.7W,2026-04-10 18:21:34
601100040769753,迷你MP3播放器 - 2.8英寸全触屏MP3播放器，带扬声器，高品质音频播放，语音录制功能，支持电子书，存储可扩展至128GB,2732,最小额定功率,0.4W,2026-04-10 18:21:34
601099981142275,"KeenPlus 80GB Smart System 9.0 MP3 Player with Wireless 5.0 And WiFi, 4.3-inch 1080P Full Touch Screen MP4 Player with Spotify And Other Online Music Players, 2500mAh Large Battery, HIFI Sound MP4 Player with Speaker, Android Streaming Music Player Supports Online Music&offline Music&supports Play Store Download Any Application",2732,支持的标准,avi,2026-04-10 18:21:35
